sku,product,variant,physical_quantity,note
VIRYA-CD-ECHOES,Echoes Of The Modern Mind,Standard,,count physically before enabling writes
VIRYA-TEE-ASHES-COLOR-S,From The Ashes — Koszulka Kolorowa,S,,count physically before enabling writes
VIRYA-TEE-ASHES-COLOR-M,From The Ashes — Koszulka Kolorowa,M,,count physically before enabling writes
VIRYA-TEE-ASHES-COLOR-L,From The Ashes — Koszulka Kolorowa,L,,count physically before enabling writes
VIRYA-TEE-ASHES-COLOR-XL,From The Ashes — Koszulka Kolorowa,XL,,count physically before enabling writes
VIRYA-TEE-ASHES-COLOR-XXL,From The Ashes — Koszulka Kolorowa,XXL,,count physically before enabling writes
VIRYA-TEE-ASHES-MONO-S,From The Ashes — Koszulka monochrom,S,,count physically before enabling writes
VIRYA-TEE-ASHES-MONO-M,From The Ashes — Koszulka monochrom,M,,count physically before enabling writes
VIRYA-TEE-ASHES-MONO-L,From The Ashes — Koszulka monochrom,L,,count physically before enabling writes
VIRYA-TEE-ASHES-MONO-XL,From The Ashes — Koszulka monochrom,XL,,count physically before enabling writes
VIRYA-TEE-ASHES-MONO-XXL,From The Ashes — Koszulka monochrom,XXL,,count physically before enabling writes
VIRYA-TEE-WAVE-S,Fala Niepewności — Koszulka,S,,count physically before enabling writes
VIRYA-TEE-WAVE-M,Fala Niepewności — Koszulka,M,,count physically before enabling writes
VIRYA-TEE-WAVE-L,Fala Niepewności — Koszulka,L,,count physically before enabling writes
VIRYA-TEE-WAVE-XL,Fala Niepewności — Koszulka,XL,,count physically before enabling writes
VIRYA-TEE-WAVE-XXL,Fala Niepewności — Koszulka,XXL,,count physically before enabling writes
VIRYA-TEE-LOGO-S,Koszulka z Logo Viryi,S,,count physically before enabling writes
VIRYA-TEE-LOGO-M,Koszulka z Logo Viryi,M,,count physically before enabling writes
VIRYA-TEE-LOGO-L,Koszulka z Logo Viryi,L,,count physically before enabling writes
VIRYA-TEE-LOGO-XL,Koszulka z Logo Viryi,XL,,count physically before enabling writes
VIRYA-TEE-LOGO-XXL,Koszulka z Logo Viryi,XXL,,count physically before enabling writes
VIRYA-BAG-CREST,Torba Viryi,Standard,,count physically before enabling writes
